rowLabel	maxf0	minf0	excursion_size	meanf0	finalf0	mean_intensity	duration	max_velocity	final_velocity	maxf0_loc_ms	maxf0_loc_ratio
p1_too_L2	136.62679537987893	135.3037258647573	0.16846664053352445	136.4483909253544	136.67292796506683	76.9220896477603	50.033341483811	43.94893187189077	-3.6501814541569804	23.511088829422988	0.469908427703761
p2_too_L2	126.75527763357346	109.2878624556633	2.5669516003966457	116.0213168535001	122.26998542749993	78.47916486748719	40.424289145860826	-53.28322213930855	-18.297989812343204	0	0
p1_ka_H1	142.8512008664278	139.6820584874221	0.38839726869096136	142.54817415597185	142.83551694632686	75.17668193384831	50.033341483811	62.57714771147073	9.456559003239478	19.35725584083059	0.3868871289976486
p2_ka_H1	141.7657700714454	133.90394846271226	0.9877287304120612	135.52567254664834	134.06522816166233	77.53275054628142	79.8545383946987	-17.680926369612813	-7.463940717882819	0	0
p1_ka_H2	126.65739100007018	122.70825203878393	0.5483879339443569	126.15246451551418	126.41088532140442	72.36030463225592	50.033341483811	-18.248219286768197	-9.388743834662561	0	0
p2_ka_H2	124.70373776794816	121.84967360862659	0.40082785646223096	122.36275913383845	121.9918173366898	74.83783364254771	58.979700557074466	-8.9499093791563	5.908679774758154	0	0
p1_tee_L1	151.15139351789298	149.62583022772148	0.17562032973745456	150.84582298717638	150.81028572672648	73.00105172053094	40.09294251352458	50.316475913357614	19.206332122960745	14.42205732574564	0.3597156113168955
p2_tee_L1	141.47214113920253	112.21212026075476	4.011473652131091	128.7682086803317	131.04520355096236	75.35529416725208	49.70199485147475	-61.5434228987043	-22.60383063284684	0	0
p1_tee_L2	137.52021620128934	134.7939660631128	0.346653613189309	137.0210986199668	137.38689900085615	73.01751949650867	49.70199485147475	27.38877210544691	5.677390956990706	23.7852884024079	0.4785580231434543
p2_tee_L2	130.22113318518814	108.45467042060305	3.1664569968497647	122.83459275894431	123.98293632502843	78.13654325189093	50.033341483811	-51.81202253335578	-6.365067747733997	0	0
p1_ku_L1	147.387914451197	146.87364401968406	0.0605123817421509	147.16250939739777	147.20991316515634	78.98115564953449	50.03334148382521	66.85878985855263	7.468834581963676	33.27188376306367	0.6649942373690914
p2_ku_L1	141.78825315114562	120.8342623545732	2.768501123069088	130.8139874237049	130.75055465716156	76.11660986841383	50.033341483811	-54.466654007199544	-30.101550880583343	0	0
p1_ku_L2	137.26460701612177	135.20809681978497	0.2613375968820799	136.88167584086193	136.7453644849742	74.12304930958425	39.76159588118833	16.760860048363707	7.178827220960125	20.47805802436642	0.5150210289737094
p2_ku_L2	127.56032583870207	113.62723792940304	2.002451745767671	121.13481496393831	127.92801032329004	73.45761959654514	30.152543543223942	-1.0456664694340339	-1.0361303259804817	0	0
p1_ki_L1	160.70399790203126	159.73136294394402	0.10509850870881188	160.02780537699113	160.2884371530712	77.33053151217501	40.424289145860826	74.26609094247482	33.66907493036857	0	0
